user_id,item_id,rating
1494,1,4
1494,2,5
9808,3,1
9808,4,3
19854,5,5
19854,6,5
19854,7,5
19854,8,1
19854,9,5
19854,10,5
19854,11,5
19854,12,5
20059,13,1
20059,14,4
20059,15,4
1239,16,5
1239,17,4
26005,18,5
26005,19,5
26005,20,5
41999,21,3
41999,22,4
42574,23,4
42574,24,4
42574,20,4
37075,25,5
37075,26,5
37075,27,5
37075,28,4
37075,29,4
37075,30,5
37075,31,5
37075,32,5
37075,33,5
37075,34,5
37075,35,4
37075,36,5
37075,37,5
37075,38,5
37075,39,5
37075,40,5
37075,41,5
37075,42,5
37075,43,5
21277,44,5
21277,45,5
21277,46,5
21277,47,5
21277,48,4
21277,49,5
21277,6,1
21277,50,1
6321,51,5
6321,52,5
6321,53,5
6321,54,5
6321,55,5
16113,56,5
16113,57,5
35805,58,5
35805,59,5
35805,60,1
35805,61,5
35805,62,1
35805,63,5
35805,64,5
11738,65,5
11738,66,5
40352,67,5
40352,68,5
40352,54,5
27104,69,5
27104,70,1
220,52,5
220,71,5
16996,72,3
16996,73,3
16996,74,5
16996,75,5
29248,76,5
29248,77,5
334,78,5
334,79,5
334,80,5
41913,81,5
41913,76,5
34211,82,4
34211,83,5
34211,84,5
34211,85,5
34211,86,5
40510,87,5
40510,88,5
40510,89,5
40510,90,5
40510,91,5
18886,76,5
18886,92,5
18886,93,5
10822,16,5
10822,94,5
43393,95,5
43393,96,5
42042,95,3
42042,97,1
9462,98,5
9462,99,5
6688,100,5
6688,101,5
6688,102,5
6688,103,5
4933,104,5
4933,105,5
4933,106,5
4933,107,5
20660,108,5
20660,109,5
20660,110,5
20660,111,5
20660,112,5
20660,113,5
20660,114,5
20660,115,5
20660,116,5
20660,117,5
20660,118,5
20660,119,5
20660,120,5
20660,121,5
20660,122,5
20660,123,5
20660,124,5
20660,125,5
20660,126,5
20660,127,5
20660,128,5
20660,129,5
20660,130,5
20660,131,5
20660,132,5
20660,133,5
15294,134,5
15294,135,5
5989,136,5
5989,137,5
5989,138,5
44819,139,4
44819,140,5
44819,141,5
44819,142,5
22968,26,5
22968,143,5
22968,101,5
22968,144,5
37305,145,5
37305,146,5
32816,147,5
32816,148,5
16789,101,5
16789,149,5
22736,150,5
22736,151,5
9333,152,5
9333,153,5
9333,101,5
42984,154,5
42984,155,3
42984,156,4
42724,157,4
42724,158,4
42724,159,5
34333,158,5
34333,160,5
34333,161,5
24460,162,5
24460,163,5
24460,164,5
24460,165,5
24460,166,3
24460,167,5
24460,168,5
24460,169,5
24460,170,5
24460,171,5
24460,172,3
24460,173,5
33699,174,4
33699,29,4
33699,175,4
29233,176,5
29233,177,5
29233,178,5
16001,179,5
16001,158,5
4808,180,4
4808,181,5
4808,182,5
4808,183,5
4808,184,5
4808,77,5
16683,185,4
16683,158,5
16683,186,5
16683,187,3
16683,188,4
16683,189,5
16683,190,4
16683,191,1
16683,192,5
16683,193,4
16683,194,4
16683,195,4
16683,196,4
16683,197,5
16683,198,3
16683,199,3
16683,200,5
16683,201,3
39167,202,5
39167,203,5
39167,204,5
21420,205,5
21420,206,5
45213,207,2
45213,208,5
45213,209,5
45213,210,5
45213,211,5
22284,212,5
22284,173,5
46266,213,5
46266,214,4
30819,215,4
30819,216,4
30819,217,5
30819,218,5
30819,219,4
1119,220,5
1119,221,4
1119,158,5
10424,222,5
10424,223,4
10424,224,5
10424,225,5
10424,226,5
10424,227,4
10424,173,5
10424,228,5
10424,229,5
10424,158,5
10424,230,5
10424,231,5
6796,232,4
6796,233,5
6796,234,5
6796,235,5
6796,236,5
33519,237,5
33519,238,5
33519,239,5
33519,240,5
36467,241,5
36467,158,5
41404,158,5
41404,242,5
15455,243,5
15455,244,1
15455,245,4
15455,246,5
36618,158,4
36618,247,4
36618,248,4
26090,249,5
26090,250,5
43466,251,5
43466,252,5
43466,66,5
33673,253,5
33673,251,4
33673,254,3
33673,255,4
33673,256,5
33673,257,5
33673,258,5
33673,259,5
33673,260,3
